platform,supply,demand,VAM,LCM,MODI,SSM
CPU,20,20,5.3e-05,1.5e-05,0.00017,0.008876
CPU,30,30,0.000147,4e-05,0.000432,0.040551
CPU,40,40,0.000292,8.3e-05,0.001125,0.195607
CPU,50,50,0.000545,0.000162,0.003498,0.762436
CPU,60,60,0.000822,0.00026,0.007159,2.00987
CPU,70,70,0.001251,0.000417,0.011825,4.170571
CPU,80,80,0.001773,0.000591,0.018484,8.37835
CPU,90,90,0.002443,0.00089,0.024417,13.855565
CPU,100,100,0.00333,0.001164,0.044493,29.72176
CPU,110,110,0.004324,0.001526,0.065114,49.54041
CPU,120,120,0.006039,0.001997,0.095777,77.801219
CPU,130,130,0.007825,0.00262,0.115392,99.667929
GPU,40,40,0.089624,0.015467,0.062054,0.147908
GPU,80,80,0.116919,0.066837,0.354207,1.01987
GPU,120,120,0.154917,0.047526,0.874028,2.620865
GPU,160,160,0.209937,0.065053,1.060604,4.769807
GPU,200,200,0.29354,0.077933,1.879022,8.949187
GPU,240,240,0.378999,0.12252,2.699092,16.30177
GPU,280,280,0.522049,0.139084,3.818286,25.461023
GPU,320,320,0.548126,0.154468,6.199957,40.473016
GPU,360,360,0.672109,0.184042,6.666003,45.586051
GPU,400,400,0.678104,0.187274,6.039282,52.970258
GPU,440,440,0.75989,0.170726,9.621706,75.432781
GPU,480,480,0.899838,0.232729,10.032061,82.706703
